P32900	P50111
P18239	O74700
P32897	P00175
P06775	P20606
P32803	P20606
P22214	P20606
Q08144	P32602
P27614	P25604
P47045	P87108
Q01590	P32602
Q03322	P32602
P33338	P39743
P41834	P33891
Q04338	P32602
P38228	P21801
P38228	Q00711
P33328	P40357
Q12241	P32602
Q04338	P32912
Q08749	P32830
P47045	P32830
P22214	P40357
P32867	Q04359
P33328	Q04359
P32854	Q04359
P39928	Q07688
Q12255	P38182
Q12241	P38182
P36057	P32916
Q03322	P38932
P32341	P38784
Q12241	P27801
Q01590	P36015
Q12255	P32912
P33338	P38249
Q12255	P32602
P32803	P38968
P32803	Q04491
P32803	P40482
P32803	P15303
P54837	P38968
P54837	Q04491
P54837	P15303
P54837	P40482
Q04958	P43601
P39685	P52593
P32867	P30619
P32563	P38784
P14359	P38822
P80667	P39929
P36125	P43603
Q02969	Q06449
P39107	Q06449
P11710	P31374
P11710	P39732
P80667	P35845
P11710	P53046
P11710	P34250
P11710	P36119
P40073	P13186
P12684	Q06449
Q12043	P47068
Q12144	P38822
P53142	P38822
P38130	P38822
Q04835	P38822
P36125	P38822
P04821	P40450
P04821	Q12216
P04821	P53733
P11710	P40091
P11710	P41832
P11710	P40450
P11710	P24583
P11710	P33314
P11710	P40020
P11710	P21691
P11710	Q12753
P11710	P32606
P11710	Q12309
P80667	P15274
P80667	P40450
P40073	Q06604
P40073	P32457
P40073	Q04439
P40073	P53297
P40073	P40055
P40073	P53552
P53142	P32790
Q12144	P32790
Q12270	P32790
P38130	P32790
P41544	P32790
P36125	P32790
P25385	P32790
Q12270	P43603
Q12144	P32793
Q12270	P32793
P38130	P32793
Q04767	P27637
P53142	P43603
P38130	P43603
P14359	P43603
P41544	P43603
P25385	P43603
Q04835	P43603
P36125	P32793
P36060	Q06449
Q03322	Q12071
P39004	P15891
P39925	P38333
P39925	P09624
Q12466	P38316
P38993	Q12380
P53629	P35182
P38993	P32381
P40988	P47113
P13134	P47113
P32900	Q07457
P04710	P38316
Q06538	P38328
P40073	P38753
P80667	Q08446
P40073	P39969
P04821	P38272
P11710	P53941
P40073	Q05080
P32486	Q00776
P40073	P07248
P18238	P38316
Q12270	P38822
P25385	P38822
P40073	P46674
P40073	P18494
P40073	P22147
Q04835	P32790
P14359	P32793
P41544	P32793
P38993	P38316
P40988	P38316
P40073	P24583
P53961	Q08004
P04840	P53323
P14020	Q00684
P36060	Q00684
P49573	P38147
Q08902	P04819
P54072	P38147
P32341	P27466
P32486	P25296
P46956	P53622
Q12232	P53691
P04840	P33308
P04840	P25453
P04840	Q12018
P53324	P23287
P18238	P53323
P53142	P15790
P38735	P15790
P14020	P25453
P30606	P38970
Q04947	P39984
P39004	Q04660
P39003	P22696
P38993	P32502
P33333	P14741
Q04013	P14741
P04840	P24814
Q04697	P13434
P04821	P29295
P39004	P29295
P34163	P29295
P38130	P38217
P18239	P38217
P39006	P38217
P32368	P38217
Q12443	P38217
P32486	P13186
P08004	P38691
P40075	Q04660
Q04013	P38217
P18238	P06774
P04840	P50942
P18239	P14741
P19657	Q08273
P32332	P38217
P39004	P14741
P40988	Q03330
P19657	P10823
P38993	P32464
P25297	P14681
P40988	P14681
P39003	P14681
P05030	P14681
P18238	Q12446
P39003	Q12446
P32319	Q12446
P53751	Q12446
P13181	Q12446
P39004	Q12446
P25297	Q12446
P42838	Q06142
P42838	P46970
P42838	P12612
P53117	Q08387
P38969	P21965
P53735	Q12343
Q12289	P13712
P40988	P40991
P25297	P40991
P38993	P31378
P40988	P08018
P38297	P39108
P39004	Q12236
P53220	Q12236
P39003	Q07949
P39004	Q07949
Q12466	P34221
P39003	Q12236
P40988	P40048
P46956	P52891
P21560	P46673
P43564	P14904
P42838	P38885
P04840	P38998
Q03648	P46673
Q04013	Q12446
P38301	P41811
Q08215	P07276
Q06689	P32641
Q06681	P40352
P18238	P06839
P39003	P06839
P04840	P06781
P04821	P38615
P43560	P07703
P39004	P05317
P04840	P25343
P25297	P39743
Q03648	P40856
P39003	P36047
P05030	P36047
P19657	P36047
P49573	P41811
P16547	P41811
P18239	P41811
Q12443	P41811
P32803	Q12250
P38114	P07703
P04840	P33298
P53117	Q06506
P39003	P39940
P25297	P39940
P04840	P40856
P04710	P06839
P32486	Q12250
P40988	P38623
P18238	P26755
P39004	P26755
P18238	Q12223
P33296	Q03940
P40988	Q00916
P53878	P41811
P40345	Q04675
Q03516	Q04675
Q12325	P38272
P39981	P38262
Q04697	P20604
P39003	P53965
P12684	Q12469
P05030	Q00772
P25297	P08458
P18238	P06843
Q03640	Q12379
P40988	P06244
P33296	P39985
P33296	P35691
P33296	P01123
P40534	Q04675
P33296	P33418
P18238	Q04964
P33296	P22515
P33296	P05626
P38695	P20604
P36148	P41811
Q03795	P38262
P39928	P53622
P40988	P04451
P32341	P38873
Q03944	Q12230
Q06538	P14680
P38083	P33301
P40988	P38197
P39003	P38197
P04840	P23291
P53209	Q12100
Q04697	Q12154
P04840	Q12154
Q12063	P32836
Q12063	P46970
P40098	Q03897
Q03944	P43592
Q03944	P53252
Q03944	Q05040
Q06668	Q06490
Q06668	P32366
Q06668	P38164
P38929	Q05498
P32843	P43603
Q06689	P53127
P32843	P53335
Q99271	P38748
P38875	P19146
P40075	P38882
P46956	Q04437
P04840	Q04437
P39004	P38197
P18238	P23291
P05030	Q06344
Q12063	P32835
P38875	P11076
P39004	P25569
Q06668	P43550
P04840	Q99247
P33333	Q04437
P32386	Q04437
